Year,NHGISST,NHGISCTY,STATENAM,NHGISNAM,ICPSRST,ICPSRCTY,area_base,NHGISST_1950,NHGISCTY_1950,STATENAM_1950,NHGISNAM_1950,ICPSRST_1950,ICPSRCTY_1950,area,weight,US_STATE
1900,240,0130,Maryland,Carroll,52,110,1172468620.114064,240,0130,Maryland,Carroll,52,110,1172468620.1140647,1.0,1
1900,420,0410,Pennsylvania,Cumberland,14,410,1425260277.8818524,420,0410,Pennsylvania,Cumberland,14,410,1425260277.8818436,1.0,1
1900,420,0550,Pennsylvania,Franklin,14,550,2001665455.3344676,420,0550,Pennsylvania,Franklin,14,550,2001665455.3344715,1.0,1
1900,240,0210,Maryland,Frederick,52,190,1728325516.211652,240,0210,Maryland,Frederick,52,190,1728325516.2116425,1.0,1
1900,420,1330,Pennsylvania,York,14,1330,2358820208.140258,420,1330,Pennsylvania,York,14,1330,2358820208.1402698,1.0,1
1900,530,0010,Washington,Adams,73,10,4998309278.991981,530,0010,Washington,Adams,73,10,4998309278.991968,1.0,1
1900,530,0210,Washington,Franklin,73,210,3277237025.1844373,530,0210,Washington,Franklin,73,210,3277237025.1841035,1.0,1
1900,530,0170,Washington,Douglas,73,170,12017448064.86395,530,0250,Washington,Grant,73,250,7229445544.938056,0.6015790961539643,1
1900,530,0170,Washington,Douglas,73,170,12017448064.86395,530,0170,Washington,Douglas,73,170,4788002519.925883,0.3984209038460356,1
1900,530,0430,Washington,Lincoln,73,430,6058910382.684576,530,0430,Washington,Lincoln,73,430,6058910382.68456,1.0,1
1900,530,0750,Washington,Whitman,73,750,5639953609.757892,530,0750,Washington,Whitman,73,750,5639953609.757884,1.0,1
1900,550,0010,Wisconsin,Adams,25,10,1783341149.3974304,550,0010,Wisconsin,Adams,25,10,1783341149.3974264,1.0,1
1900,550,0210,Wisconsin,Columbia,25,210,2061587954.26134,550,0210,Wisconsin,Columbia,25,210,2061587954.2612622,1.0,1
1900,550,0570,Wisconsin,Juneau,25,570,2082423580.0626063,550,0570,Wisconsin,Juneau,25,570,2082423580.0626082,1.0,1
1900,550,0770,Wisconsin,Marquette,25,770,1202544413.1092079,550,0770,Wisconsin,Marquette,25,770,1202544413.1091568,1.0,1
1900,550,0970,Wisconsin,Portage,25,970,2130644173.219482,550,0970,Wisconsin,Portage,25,970,2130644173.2194142,1.0,1
1900,550,1370,Wisconsin,Waushara,25,1370,1650842618.3508925,550,1370,Wisconsin,Waushara,25,1370,1650842618.350828,1.0,1
1900,550,1410,Wisconsin,Wood,25,1410,2096483501.9361517,550,1410,Wisconsin,Wood,25,1410,2096483501.9360871,1.0,1
1900,500,0010,Vermont,Addison,6,10,2091970790.1058106,500,0010,Vermont,Addison,6,10,2091970790.1057365,1.0,1
1900,500,0070,Vermont,Chittenden,6,70,1604102419.560174,500,0070,Vermont,Chittenden,6,70,1604102419.5601025,1.0,1
1900,360,0310,New York,Essex,13,310,5024865742.686083,360,0310,New York,Essex,13,310,4905946127.52716,0.9763337726322501,1
1900,360,0310,New York,Essex,13,310,5024865742.686083,360,0410,New York,Hamilton,13,410,118919615.15882431,0.023666227367749967,1
1900,360,0410,New York,Hamilton,13,410,4620431539.449229,360,0310,New York,Essex,13,310,57160224.935019426,0.012371187506402096,1
1900,360,0410,New York,Hamilton,13,410,4620431539.449229,360,0410,New York,Hamilton,13,410,4563271314.514122,0.9876288124935979,1
1900,500,0170,Vermont,Orange,6,170,1793122277.780107,500,0170,Vermont,Orange,6,170,1793122277.780106,1.0,1
1900,500,0210,Vermont,Rutland,6,210,2446994380.659037,500,0210,Vermont,Rutland,6,210,2446994380.659041,1.0,1
1900,360,1150,New York,Washington,13,1150,2190807511.11656,360,1150,New York,Washington,13,1150,2190807511.116559,1.0,1
1900,500,0230,Vermont,Washington,6,230,1800794323.406866,500,0230,Vermont,Washington,6,230,1800794323.406795,1.0,1
1900,330,0090,New Hampshire,Grafton,4,90,4531302536.172651,500,0270,Vermont,Windsor,6,270,119.25427674889362,2.6317879386420724e-08,1
1900,330,0090,New Hampshire,Grafton,4,90,4531302536.172651,330,0090,New Hampshire,Grafton,4,90,4531302536.172644,0.9999999736821207,1
1900,500,0270,Vermont,Windsor,6,270,2529852577.95001,500,0270,Vermont,Windsor,6,270,2529852577.949904,0.9999999528611779,1
1900,500,0270,Vermont,Windsor,6,270,2529852577.95001,330,0090,New Hampshire,Grafton,4,90,119.25427593318524,4.713882198160268e-08,1
1900,450,0030,South Carolina,Aiken,48,30,2799167730.5616,450,0030,South Carolina,Aiken,48,30,2799167730.5615916,1.0,1
1900,450,0110,South Carolina,Barnwell,48,110,2326511809.0142274,450,0110,South Carolina,Barnwell,48,110,1443303119.2057168,0.6203721440886637,1
1900,450,0110,South Carolina,Barnwell,48,110,2326511809.0142274,450,0050,South Carolina,Allendale,48,50,883208689.808454,0.3796278559113363,1
1900,130,0330,Georgia,Burke,44,330,2553231420.3584414,130,0330,Georgia,Burke,44,330,2159274390.2475386,0.8457025763627818,1
1900,130,0330,Georgia,Burke,44,330,2553231420.3584414,130,1650,Georgia,Jenkins,44,1650,393957030.1109028,0.1542974236372182,1
1900,130,2450,Georgia,Richmond,44,2450,850668537.5984094,450,0370,South Carolina,Edgefield,48,370,99.09000338982692,1.1648484394061627e-07,1
1900,130,2450,Georgia,Richmond,44,2450,850668537.5984094,130,2450,Georgia,Richmond,44,2450,850668537.5984124,0.999999883515156,1
1900,450,0630,South Carolina,Lexington,48,630,2412822978.6430516,450,0630,South Carolina,Lexington,48,630,1985128729.790897,0.8227411407144793,1
1900,450,0630,South Carolina,Lexington,48,630,2412822978.6430516,450,0170,South Carolina,Calhoun,48,170,138109194.2456534,0.05723967131783714,1
1900,450,0630,South Carolina,Lexington,48,630,2412822978.6430516,450,0710,South Carolina,Newberry,48,710,60291351.5284882,0.024987888486703372,1
1900,450,0630,South Carolina,Lexington,48,630,2412822978.6430516,450,0790,South Carolina,Richland,48,790,229293703.07801917,0.09503129948098023,1
1900,450,0150,South Carolina,Berkeley,48,150,3656780743.1314917,450,0750,South Carolina,Orangeburg,48,750,349635301.2042585,0.09561286983399232,1
1900,450,0150,South Carolina,Berkeley,48,150,3656780743.1314917,450,0150,South Carolina,Berkeley,48,150,3153777415.7639303,0.8624464077288905,1
1900,450,0150,South Carolina,Berkeley,48,150,3656780743.1314917,450,0190,South Carolina,Charleston,48,190,153368026.1609751,0.041940722437117106,1
1900,450,0750,South Carolina,Orangeburg,48,750,3450060615.502795,450,0750,South Carolina,Orangeburg,48,750,2571691176.543842,0.7454046357875529,1
1900,450,0750,South Carolina,Orangeburg,48,750,3450060615.502795,450,0170,South Carolina,Calhoun,48,170,878369438.9589542,0.2545953642124472,1
1900,450,0810,South Carolina,Saluda,48,810,1196094396.0890975,450,0810,South Carolina,Saluda,48,810,1196094396.0890918,1.0,1
1900,270,0010,Minnesota,Aitkin,33,10,5167866845.574098,270,0010,Minnesota,Aitkin,33,10,5167866845.574115,1.0,1
1900,270,0170,Minnesota,Carlton,33,170,2266970330.074985,270,0170,Minnesota,Carlton,33,170,2266970330.0749173,1.0,1
1900,270,0210,Minnesota,Cass,33,210,6252419270.390603,270,0210,Minnesota,Cass,33,210,6252419270.390612,1.0,1
1900,270,0350,Minnesota,Crow Wing,33,350,2995347927.4501114,270,0350,Minnesota,Crow Wing,33,350,2995347927.450119,1.0,1
1900,270,0610,Minnesota,Itasca,33,610,15751917607.4612,270,0610,Minnesota,Itasca,33,610,7583089266.15241,0.4814073724306796,1
1900,270,0610,Minnesota,Itasca,33,610,15751917607.4612,270,0710,Minnesota,Koochiching,33,710,8168828341.308699,0.5185926275693203,1
1900,270,0650,Minnesota,Kanabec,33,650,1382221782.4070642,270,0650,Minnesota,Kanabec,33,650,1382221782.4070103,1.0,1
1900,270,0950,Minnesota,Mille Lacs,33,950,1765308383.9495053,270,0950,Minnesota,Mille Lacs,33,950,1765308383.9494205,1.0,1
